SourceNode	SourceLayer	TargetNode	TargetLayer
SRP54	Proteins	SRP19	Proteins
SRP72	Proteins	SRP54	Proteins
SRP72	Proteins	SRP19	Proteins
TBK1	Proteins	TBKBP1	Proteins
TIMM10	Proteins	TIMM29	Proteins
TIMM10	Proteins	TIMM9	Proteins
TIMM10	Proteins	TIMM10B	Proteins
TIMM29	Proteins	TIMM9	Proteins
TIMM29	Proteins	TIMM10B	Proteins
TIMM9	Proteins	TIMM10B	Proteins
TLE1	Proteins	TLE3	Proteins
TLE1	Proteins	TLE5	Proteins
TLE3	Proteins	TLE5	Proteins
TOR1A	Proteins	FOXRED2	Proteins
TOR1A	Proteins	SDF2	Proteins
TUBGCP2	Proteins	TUBGCP3	Proteins
UBAP2L	Proteins	UBAP2	Proteins
UGGT2	Proteins	ERO1B	Proteins
UGGT2	Proteins	SIL1	Proteins
UGGT2	Proteins	HYOU1	Proteins
UGGT2	Proteins	NGLY1	Proteins
UGGT2	Proteins	TOR1A	Proteins
UGGT2	Proteins	FOXRED2	Proteins
UGGT2	Proteins	SDF2	Proteins
UPF1	Proteins	RBM28	Proteins
UPF1	Proteins	MOV10	Proteins
UPF1	Proteins	PABPC1	Proteins
VPS39	Proteins	VPS11	Proteins
WASHC4	Proteins	FKBP15	Proteins
YIF1A	Proteins	RTN4	Proteins
ZNF503	Proteins	DCAF7	Proteins
ZYG11B	Proteins	ELOC	Proteins
ZYG11B	Proteins	ELOB	Proteins
ZYG11B	Proteins	RBX1	Proteins
ZYG11B	Proteins	CUL2	Proteins
E	SARS-CoV-2	AP3B1	Proteins
E	SARS-CoV-2	BRD4	Proteins
E	SARS-CoV-2	BRD2	Proteins
E	SARS-CoV-2	CWC27	Proteins
E	SARS-CoV-2	ZC3H18	Proteins
E	SARS-CoV-2	SLC44A2	Proteins
M	SARS-CoV-2	PMPCB	Proteins
M	SARS-CoV-2	YIF1A	Proteins
M	SARS-CoV-2	ATP1B1	Proteins
M	SARS-CoV-2	ACADM	Proteins
M	SARS-CoV-2	ETFA	Proteins
M	SARS-CoV-2	STOM	Proteins
M	SARS-CoV-2	GGCX	Proteins
M	SARS-CoV-2	ATP6V1A	Proteins
M	SARS-CoV-2	PSMD8	Proteins
M	SARS-CoV-2	REEP5	Proteins
M	SARS-CoV-2	PMPCA	Proteins
M	SARS-CoV-2	ANO6	Proteins
M	SARS-CoV-2	PITRM1	Proteins
M	SARS-CoV-2	SLC30A9	Proteins
M	SARS-CoV-2	FASTKD5	Proteins
M	SARS-CoV-2	SLC30A7	Proteins
M	SARS-CoV-2	TUBGCP3	Proteins
M	SARS-CoV-2	COQ8B	Proteins
M	SARS-CoV-2	SAAL1	Proteins
M	SARS-CoV-2	REEP6	Proteins
M	SARS-CoV-2	INTS4	Proteins
M	SARS-CoV-2	SLC25A21	Proteins
M	SARS-CoV-2	TUBGCP2	Proteins
M	SARS-CoV-2	TARS2	Proteins
M	SARS-CoV-2	RTN4	Proteins
M	SARS-CoV-2	FAM8A1	Proteins
M	SARS-CoV-2	AASS	Proteins
M	SARS-CoV-2	AKAP8L	Proteins
M	SARS-CoV-2	AAR2	Proteins
M	SARS-CoV-2	BZW2	Proteins
N	SARS-CoV-2	RRP9	Proteins
N	SARS-CoV-2	PABPC1	Proteins
N	SARS-CoV-2	CSNK2A2	Proteins
N	SARS-CoV-2	CSNK2B	Proteins
N	SARS-CoV-2	G3BP1	Proteins
N	SARS-CoV-2	PABPC4	Proteins
N	SARS-CoV-2	LARP1	Proteins
N	SARS-CoV-2	FAM98A	Proteins
N	SARS-CoV-2	SNIP1	Proteins
N	SARS-CoV-2	UPF1	Proteins
N	SARS-CoV-2	MOV10	Proteins
N	SARS-CoV-2	G3BP2	Proteins
N	SARS-CoV-2	DDX21	Proteins
N	SARS-CoV-2	RBM28	Proteins
N	SARS-CoV-2	RPL36	Proteins
Spike	SARS-CoV-2	GOLGA7	Proteins
Spike	SARS-CoV-2	ZDHHC5	Proteins
Nsp1	SARS-CoV-2	POLA1	Proteins
Nsp1	SARS-CoV-2	PRIM1	Proteins
Nsp1	SARS-CoV-2	PRIM2	Proteins
Nsp1	SARS-CoV-2	POLA2	Proteins
Nsp1	SARS-CoV-2	COLGALT1	Proteins
Nsp1	SARS-CoV-2	PKP2	Proteins
Nsp10	SARS-CoV-2	AP2A2	Proteins
Nsp10	SARS-CoV-2	GFER	Proteins
Nsp10	SARS-CoV-2	ERGIC1	Proteins
Nsp10	SARS-CoV-2	AP2M1	Proteins
Nsp10	SARS-CoV-2	GRPEL1	Proteins
Nsp11	SARS-CoV-2	TBCA	Proteins
Nsp12	SARS-CoV-2	SBNO1	Proteins
Nsp12	SARS-CoV-2	BCKDK	Proteins
Nsp12	SARS-CoV-2	AKAP8	Proteins
Nsp12	SARS-CoV-2	MYCBP2	Proteins
Nsp12	SARS-CoV-2	SLU7	Proteins
Nsp12	SARS-CoV-2	RIPK1	Proteins
Nsp12	SARS-CoV-2	UBAP2L	Proteins
Nsp12	SARS-CoV-2	TYSND1	Proteins
Nsp12	SARS-CoV-2	PDZD11	Proteins
Nsp12	SARS-CoV-2	PRRC2B	Proteins
Nsp12	SARS-CoV-2	UBAP2	Proteins
Nsp12	SARS-CoV-2	ZNF318	Proteins
Nsp12	SARS-CoV-2	CRTC3	Proteins
Nsp12	SARS-CoV-2	USP54	Proteins
Nsp12	SARS-CoV-2	ZC3H7A	Proteins
Nsp12	SARS-CoV-2	LARP4B	Proteins
Nsp12	SARS-CoV-2	RBM41	Proteins
Nsp12	SARS-CoV-2	TCF12	Proteins
Nsp12	SARS-CoV-2	PPIL3	Proteins
Nsp12	SARS-CoV-2	PLEKHA5	Proteins
Nsp13	SARS-CoV-2	TBKBP1	Proteins
Nsp13	SARS-CoV-2	CIT	Proteins
Nsp13	SARS-CoV-2	HSBP1	Proteins
Nsp13	SARS-CoV-2	PCNT	Proteins
Nsp13	SARS-CoV-2	CEP43	Proteins
Nsp13	SARS-CoV-2	PRKAR2A	Proteins
Nsp13	SARS-CoV-2	PRKACA	Proteins
Nsp13	SARS-CoV-2	PRKAR2B	Proteins
Nsp13	SARS-CoV-2	RDX	Proteins
Nsp13	SARS-CoV-2	CENPF	Proteins
Nsp13	SARS-CoV-2	TLE1	Proteins
Nsp13	SARS-CoV-2	TLE3	Proteins
Nsp13	SARS-CoV-2	TLE5	Proteins
Nsp13	SARS-CoV-2	GOLGA3	Proteins
Nsp13	SARS-CoV-2	GOLGA2	Proteins
Nsp13	SARS-CoV-2	GOLGB1	Proteins
Nsp13	SARS-CoV-2	GRIPAP1	Proteins
Nsp13	SARS-CoV-2	CEP350	Proteins
Nsp13	SARS-CoV-2	PDE4DIP	Proteins
Nsp13	SARS-CoV-2	CEP135	Proteins
Nsp13	SARS-CoV-2	CEP68	Proteins
Nsp13	SARS-CoV-2	CNTRL	Proteins
Nsp13	SARS-CoV-2	ERC1	Proteins
