SourceNode	SourceLayer	TargetNode	TargetLayer
CG4679	Layer2	mRpS23	Layer2
CG4679	Layer2	mRpS22	Layer2
CG4679	Layer2	mRpS9	Layer2
CG4679	Layer2	mRpS18B	Layer2
SF2	Layer2	CG10777	Layer2
SF2	Layer2	CG10077	Layer2
SF2	Layer2	U2A	Layer2
SF2	Layer2	Tango4	Layer2
SF2	Layer2	yps	Layer2
SF2	Layer2	Prp8	Layer2
SF2	Layer2	Rbp9	Layer2
SF2	Layer2	CG16941	Layer2
SF2	Layer2	Srp54	Layer2
SF2	Layer2	Ref1	Layer2
SF2	Layer2	LS2	Layer2
SF2	Layer2	mago	Layer2
SF2	Layer2	Hrb98DE	Layer2
p47	Layer2	CG8209	Layer2
p47	Layer2	Ufd1-like	Layer2
p47	Layer2	Rpt2	Layer2
Rad23	Layer2	me31B	Layer2
Rad23	Layer2	Uch-L5	Layer2
Rad23	Layer2	Rpt1	Layer2
Rad23	Layer2	HDAC6	Layer2
Rad23	Layer2	Usp5	Layer2
Rad23	Layer2	Uba2	Layer2
Rad23	Layer2	Ufd1-like	Layer2
Rad23	Layer2	Sgt	Layer2
Rad23	Layer2	Rpt5	Layer2
Rad23	Layer2	Bap55	Layer2
Rad23	Layer2	pont	Layer2
Rad23	Layer2	CG8209	Layer2
Rad23	Layer2	Iswi	Layer2
Rad23	Layer2	Rpn13	Layer2
Rad23	Layer2	Ubqn	Layer2
Rad23	Layer2	smt3	Layer2
Rad23	Layer2	Rpt2	Layer2
Rad23	Layer2	TER94	Layer2
me31B	Layer2	poe	Layer2
me31B	Layer2	CG2091	Layer2
me31B	Layer2	yps	Layer2
ND-51L1	Layer2	ND-51	Layer2
ND-51L1	Layer2	NP15.6	Layer2
ND-51L1	Layer2	ND-PDSW	Layer2
ND-51L1	Layer2	ND-B16.6	Layer2
syd	Layer2	alpha-Cat	Layer2
syd	Layer2	Dlic	Layer2
syd	Layer2	Klc	Layer2
Arr2	Layer2	Ubqn	Layer2
Arr2	Layer2	CG32683	Layer2
Arr1	Layer2	ninaC	Layer2
Arr1	Layer2	chp	Layer2
Arr1	Layer2	KP78a	Layer2
Arr1	Layer2	LpR2	Layer2
Arr1	Layer2	Ubqn	Layer2
Arr1	Layer2	CG32683	Layer2
Arr1	Layer2	par-1	Layer2
Arr1	Layer2	Hrs	Layer2
Arr1	Layer2	lqf	Layer2
Arr1	Layer2	Rab5	Layer2
Arr1	Layer2	Arr2	Layer2
ND-51	Layer2	ND-B16.6	Layer2
ND-51	Layer2	ND-PDSW	Layer2
CG16941	Layer2	yps	Layer2
CG16941	Layer2	mago	Layer2
CG16941	Layer2	CG10777	Layer2
CG16941	Layer2	CG10077	Layer2
CG16941	Layer2	Srp54	Layer2
CG16941	Layer2	LS2	Layer2
CG16941	Layer2	Tango4	Layer2
Cnx99A	Layer2	Ost48	Layer2
Cnx99A	Layer2	Hsp70Ab	Layer2
Cnx99A	Layer2	CG2918	Layer2
Cnx99A	Layer2	Ugt	Layer2
Cnx99A	Layer2	Gp93	Layer2
Cnx99A	Layer2	Pdi	Layer2
Cnx99A	Layer2	Hsc70-3	Layer2
Cnx99A	Layer2	ERp60	Layer2
Aats-his	Layer2	Aats-asp	Layer2
Aats-his	Layer2	Cct5	Layer2
Aats-his	Layer2	Aats-arg	Layer2
Aats-his	Layer2	Aats-val	Layer2
Aats-his	Layer2	CG33123	Layer2
Aats-his	Layer2	Aats-ile	Layer2
mRpS35	Layer2	RpS2	Layer2
mRpS35	Layer2	CG4882	Layer2
mRpS35	Layer2	mRpL12	Layer2
mRpS35	Layer2	mRpS34	Layer2
mRpS35	Layer2	mRpL44	Layer2
mRpS35	Layer2	CG4679	Layer2
mRpS35	Layer2	mRpS23	Layer2
mRpS35	Layer2	mRpS18B	Layer2
mRpS35	Layer2	mRpS10	Layer2
mRpS35	Layer2	mRpS9	Layer2
mRpS35	Layer2	mRpS22	Layer2
mRpS35	Layer2	bonsai	Layer2
mRpS35	Layer2	mRpS5	Layer2
Vha68-2	Layer2	sun	Layer2
Vha68-2	Layer2	Eno	Layer2
Vha100-2	Layer2	sun	Layer2
